pegRNA_idx,total,unaligned,extracted,recombination
715,27.0,0.0,3.0,24.0
716,290.0,23.0,101.0,166.0
717,129.0,1.0,11.0,117.0
718,939.0,17.0,302.0,620.0
719,222.0,3.0,5.0,214.0
720,1145.0,55.0,977.0,113.0
721,6278.0,252.0,5077.0,949.0
722,3194.0,158.0,2771.0,265.0
723,578.0,18.0,31.0,529.0
724,1011.0,10.0,78.0,923.0
725,879.0,16.0,4.0,859.0
726,1159.0,31.0,729.0,399.0
727,477.0,7.0,84.0,386.0
728,258.0,38.0,30.0,190.0
729,158.0,13.0,43.0,102.0
730,646.0,74.0,317.0,255.0
731,294.0,23.0,102.0,169.0
732,165.0,28.0,75.0,62.0
